Country,Country_Code,Year,Agriculture,Industry,Services
India,IND,1960,41.7413351234112,20.8343434545716,38.7824617546992
India,IND,1961,41.0924821982676,21.4348439741111,38.3258751959846
India,IND,1962,39.0659687962891,22.0526001363748,39.9358449722433
India,IND,1963,39.825351677532,21.8794758332279,38.0951802993762
India,IND,1964,41.3437167110651,20.9552885443107,36.340821458647
India,IND,1965,39.3846972550148,21.6551050738054,37.4507381940725
India,IND,1966,40.3516512369392,21.3866171713485,36.4597966556112
India,IND,1967,42.7515580248472,20.089442878816,34.6095555073409
India,IND,1968,42.0860273767475,20.6271156642435,35.054131363846
India,IND,1969,41.5849235838776,21.4174846344817,34.3058526097493
India,IND,1970,40.2896134622547,21.7293092919549,35.0468708624974
India,IND,1971,38.6333911913009,22.3920079066295,35.8036490825433
India,IND,1972,38.6268263019613,22.4080025875816,35.5216549188878
India,IND,1973,41.6038246201552,21.3482302903111,32.947705615035
India,IND,1974,38.8780587034235,22.6756933966727,33.6105959521083
India,IND,1975,35.9969148408834,23.201252076254,35.1392413952858
India,IND,1976,34.3120367117561,24.480523415356,35.8037232155147
India,IND,1977,35.777144264307,24.4002625422792,34.6614496116454
India,IND,1978,34.2739627109778,25.3244196137718,34.9393647294725
India,IND,1979,32.8255300200485,25.9922062250303,35.5214147292532
India,IND,1980,34.4088678062413,25.3362458953649,33.8072587357083
India,IND,1981,33.2976974188253,26.1029192063254,33.8716186357614
India,IND,1982,32.3267496865056,26.149804786646,34.8968372777428
India,IND,1983,32.6065348775622,26.2988432863343,34.5216006305407
India,IND,1984,31.3805304117853,26.7391386534274,35.4208160849618
India,IND,1985,29.7181383564993,26.6290712211673,36.1149997720489
India,IND,1986,28.6411462697276,26.7308358205169,36.9884678356446
India,IND,1987,27.9723784011745,26.6992365167194,37.4522794922894
India,IND,1988,28.7698223693608,26.7115838158166,36.7964455054322
India,IND,1989,27.8396057996888,27.5509934814251,37.2293979795496
India,IND,1990,27.5848881365411,27.4536954957201,37.0447851946481
India,IND,1991,27.6627054102247,26.4417201769254,37.7856900237179
India,IND,1992,26.8969194477949,26.7927432696344,37.9125681820607
India,IND,1993,27.0545587671255,26.7815542820739,38.4906849170226
India,IND,1994,26.519937575032,27.6282012473106,37.4963023409284
India,IND,1995,24.4575477898552,28.5998094242024,37.8496681189619
India,IND,1996,25.199306058679,27.9122703698412,37.709329473598
India,IND,1997,24.248674505748,27.8370307633106,39.0795515246162
India,IND,1998,24.180451549085,27.3030378517565,40.1325687271653
India,IND,1999,22.9725618865025,26.5192933488596,41.9657377868543
India,IND,2000,21.6110620465121,27.3258283775917,42.7329266435537
India,IND,2001,21.6188848861438,26.4877773440307,43.8089612621243
India,IND,2002,19.5345432709546,27.6606541607882,44.7288275521667
India,IND,2003,19.5919979784251,27.4741071211988,44.7046456542143
India,IND,2004,17.8146906487994,29.219106305293,44.1148589722471
India,IND,2005,17.6202069548839,29.5337641914637,44.4429329227804
India,IND,2006,16.8094420944381,30.9272399435883,44.043235711462
India,IND,2007,16.7501197597569,30.9032382510869,44.0081579238245
India,IND,2008,16.7909423598037,31.1367192409548,45.8825499068249
India,IND,2009,16.7442701563161,31.1213721116744,45.9848828116978
India,IND,2010,17.0265090136912,30.7250782285817,45.0337495625601
India,IND,2011,17.191973558015,30.1616797630407,45.4421452512796
India,IND,2012,16.8453770661356,29.3985276965289,46.3011472980511
India,IND,2013,17.1484235433697,28.4048995600246,46.6987147692338
India,IND,2014,16.7919345145039,27.6564012026443,47.8224137556558
India,IND,2015,16.1745081068401,27.34739147794,47.7837481204463
India,IND,2016,16.3638005616331,26.6189999399789,47.7494012900074
India,IND,2017,16.5583314049368,26.5000166464804,47.6708899682407
India,IND,2018,16.031630686449,26.4120919013735,48.4315663156522
India,IND,2019,16.7555683032837,24.5914753075066,50.0849578546822
India,IND,2020,18.6685376603727,25.1229058078344,47.9326881092162
India,IND,2021,17.3725615260314,26.466523606501,47.8472234596709
India,IND,2022,16.5461295925754,25.3845195629461,49.7252249980944
India,IND,2023,16.1931893571591,25.302936496264,49.5071878364149
India,IND,2024,16.2854335605917,24.6285041297852,49.874440225505
